206,-2757,258855
2035924788,2169,-2631,258680
2035925491,2385,-2743,258685
2035926194,2265,-2723,258851
2035926895,2132,-2799,258910
2035927596,2160,-2875,258903
2035928299,2268,-2815,258629
2035929002,2259,-2911,258648
2035929704,2264,-2694,258661
2035930407,2159,-2774,258801
2035931109,2371,-2705,258727
2035931810,2207,-2631,258766
2035932512,2248,-2894,258833
2035933215,2201,-2894,258781
2035933916,2294,-2819,258562
2035934617,2256,-2734,258770
2035935320,2121,-2536,258535
2035936023,2283,-2876,258669
2035936725,2268,-2757,258828
2035937427,2095,-3030,258909
2035938129,2235,-2832,258696
2035938830,2031,-2816,258616
2035939532,2121,-2783,258692
2035940235,2141,-2722,258879
2035940936,2205,-2604,258713
2035941637,2247,-2657,258723
2035942339,2293,-2539,258634
2035943041,2254,-2705,258638
2035943743,2141,-2635,258498
2035944446,2118,-2897,258978
2035945149,2049,-2706,258931
2035945850,2143,-2820,258540
2035946551,2417,-2621,258639
2035947254,2219,-2846,258615
2035947956,2205,-2708,258869
2035948658,2178,-2842,258672
2035949360,2061,-2856,258645
2035950062,2309,-2657,258692
2035950763,2269,-2854,258349
2035951466,2111,-2781,258392
2035952169,2198,-2713,258841
2035952871,2288,-2762,258981
2035953572,2262,-2643,258654
2035954274,2436,-2551,258580
2035954975,2252,-2883,258819
2035955677,2162,-2814,258801
2035956380,2343,-2758,258597
2035957083,2079,-2626,258712
2035957784,2250,-2801,258883
2035958486,2342,-2695,258725
2035959188,2231,-2842,258644
2035959890,2174,-2742,258523
2035960592,2184,-2916,258672
2035961295,2154,-2700,258786
2035961996,2170,-2729,258747
2035962697,2232,-2902,258675
2035963400,2411,-2708,258639
2035964103,2397,-2833,258514
2035964805,2419,-2918,258633
2035965507,2322,-2727,258687
2035966209,2297,-2590,258778
2035966910,2185,-2667,258609
2035967611,2457,-2909,258862
2035968314,2253,-2920,258516
2035969017,2109,-2814,258755
2035969718,2378,-2972,258257
2035970420,2282,-3043,258656
2035971122,2085,-2717,258814
2035971823,2180,-2876,258657
2035972525,2309,-2741,258890
2035973228,2163,-2752,258888
2035973929,2235,-2868,258957
2035974630,2165,-2749,258437
2035975332,1971,-2598,258867
2035976035,2233,-2733,258715
2035976737,2257,-2758,258716
2035977440,2408,-2868,259077
2035978143,2329,-2693,258630
2035978844,2252,-2905,258630
2035979545,2097,-2744,258930
2035980248,2277,-2908,258860
2035980950,2241,-2761,258631
2035981652,2355,-2724,258728
2035982354,2361,-2759,258653
2035983056,2115,-2784,258585
2035983757,2275,-2768,258490
2035984460,2217,-2717,258742
2035985163,2093,-2646,258833
2035985865,2262,-2569,258755
2035986566,2313,-2811,258917
2035987268,2314,-2764,258849
2035987969,2396,-2866,258673
2035988670,2432,-2904,258510
2035989373,2201,-2789,259014
2035990076,2424,-2818,258625
2035990777,2257,-2638,258667
2035991479,2336,-2890,258472
2035992181,2069,-2775,259210
2035992882,2158,-2815,258814
2035993584,2269,-2619,258954
2035994287,2225,-2862,258468
2035994988,2230,-2676,258662
2035995689,2272,-2834,258739
2035996391,2292,-2847,258815
2035997094,2032,-2813,258585
2035997796,2179,-2709,258711
2035998499,2373,-2697,258563
2035999201,2419,-2891,258666
2035999902,2413,-2812,258705
2036000603,2270,-2782,258441
2036001306,2379,-2865,258763
2036002009,2302,-2815,258796
2036002710,2232,-2840,258932
2036003412,2405,-2970,258775
2036004114,2253,-2550,258615
2036004815,2327,-2904,258849
2036005517,2382,-2838,258960
2036006220,2175,-2778,258650
2036006921,2304,-2879,258538
2036007622,2309,-2844,258791
2036008324,2376,-2653,258528
2036009026,2231,-2822,258612
2036009728,2320,-2635,258734
2036010431,2497,-2835,259207
2036011134,2122,-3035,258726
2036011835,2324,-2938,258814
2036012536,2417,-2631,258635
2036013239,2264,-2810,258589
2036013941,1902,-2889,258681
2036014643,2080,-2973,258795
2036015345,1958,-2960,258411
2036016047,2183,-2884,258543
2036016748,2063,-3004,258873
2036017451,2189,-2771,258318
2036018154,2138,-2938,258802
2036018855,2243,-2904,258548
2036019556,2230,-2744,258527
2036020258,2439,-2834,258712
2036020959,2336,-2885,258575
2036021660,2260,-2699,258632
2036022363,2464,-2790,258669
2036023066,2234,-2782,258487
2036023767,2343,-2914,258779
2036024469,2076,-2872,258869
2036025171,2265,-2782,258732
2036025872,2301,-2736,258921
2036026574,2220,-2735,258601
2036027277,2229,-2821,258850
2036027978,2178,-2672,258698
2036028680,2181,-2861,258562
2036029383,2178,-2763,258636
2036030086,2282,-2541,258603
2036030787,2071,-2893,258855
2036031489,2271,-2761,258635
2036032192,2282,-2762,258752
2036032894,2498,-2869,258459
2036033596,2355,-2742,258567
2036034298,2229,-2893,258769
2036035000,2327,-2718,258735
2036035702,2433,-2746,258584
2036036405,2255,-2736,258702
2036037107,2395,-2730,258588
2036037808,2178,-2758,258706
2036038509,2318,-2743,258812
2036039212,2440,-2871,258602
2036039914,2037,-2670,259090
2036040616,2181,-2842,258842
2036041319,2217,-2761,258649
2036042021,2303,-2767,258730
2036042722,2345,-2733,258865
2036043425,2283,-2677,258707
2036044128,2314,-2777,258516
2036044830,2342,-2776,258988
2036045531,2260,-2742,258437
2036046233,2274,-2649,258583
2036046934,2250,-2574,258666
2036047635,2342,-2893,258814
2036048338,2108,-2914,258701
2036049041,2296,-2700,258823
2036049742,2237,-2716,258623
2036050444,2490,-2797,258646
2036051146,2368,-2665,258572
2036051847,2493,-2889,259029
2036052549,2370,-2710,259000
2036053252,2160,-2732,258558
2036053953,2427,-2611,258523
2036054654,2362,-2930,258833
2036055356,2257,-2955,258729
2036056059,2360,-2691,258853
2036056761,2191,-2864,258768
2036057464,2296,-2763,258741
2036058167,2337,-2825,258661
2036058868,2265,-2694,258787
2036059569,2251,-2824,258617
2036060272,2306,-2799,258666
2036060974,2314,-2788,258672
2036061676,2480,-2828,258468
2036062379,2444,-2904,258828
2036063081,2207,-2610,258820
2036063782,2221,-2714,259077
2036064485,2095,-2643,258995
2036065188,2387,-2690,258453
2036065890,2255,-2676,258530
2036066592,2235,-2667,258817
2036067294,2243,-2947,258891
2036067995,2207,-2919,258529
2036068696,2193,-2782,258801
2036069399,2180,-2572,258866
2036070102,2016,-2563,258728
2036070803,2301,-2791,258890
2036071504,2156,-2684,258603
2036072206,2382,-2654,258784
2036072908,2180,-2726,258573
2036073610,2172,-2792,258607
2036074313,2306,-2727,258955
2036075016,2111,-2798,258604
2036075717,2206,-2801,258786
2036076419,2433,-2850,258600
2036077121,2228,-3065,258880
2036077822,2282,-2906,258784
2036078524,2365,-2905,258590
2036079227,2252,-2701,258498
2036079928,2309,-2764,258519
2036080629,2165,-2699,258513
2036081331,2331,-2730,258759
2036082033,2386,-2821,258950
2036082734,2201,-2775,258859
2036083437,2417,-2726,258473
2036084140,1942,-2636,258571
2036084841,2121,-2605,258708
2036085542,2361,-2537,258688
2036086244,2481,-2512,258687
2036086945,2154,-2737,258990
2036087647,2442,-2654,258791
2036088350,2268,-2785,258347
2036089053,2290,-2742,258691
2036089754,2348,-2942,258667
2036090456,2225,-2688,258697
2036091158,2195,-2747,258817
2036091859,2293,-2846,259070
2036092560,2359,-2805,258711
2036093263,2302,-2756,258842
2036093965,2269,-2713,258859
2036094666,2319,-2710,258345
2036095368,2378,-2598,259093
2036096070,2065,-2709,258575
2036096771,2242,-2975,258714
2036097474,2031,-2815,258845
2036098177,2238,-2802,258783
2036098879,2171,-2870,258658
2036099580,2143,-2576,258814
2036100282,2485,-2915,258804
2036100983,2284,-2775,258952
2036101685,2267,-2916,258508
2036102388,2360,-2857,258704
2036103091,2263,-2848,258882
2036103792,2124,-2724,258766
2036104494,2464,-2690,258802
2036105196,2089,-2615,258311
2036105898,2027,-2659,258458
2036106600,2328,-2645,258852
2036107303,2167,-2789,258875
2036108006,2229,-2863,259000
2036108707,2435,-2659,258509
2036109409,2286,-2486,258646
2036110111,2400,-2717,258589
2036110813,2064,-2765,258833
2036111515,2100,-2735,258580
2036112218,2222,-2613,258724
2036112919,2093,-2716,258819
2036113620,2129,-2735,258768
2036114322,2306,-2750,258816
2036115024,2318,-2790,258661
2036115725,2352,-2904,258791
2036116428,2161,-2876,258629
2036117131,2235,-2699,258980
2036117832,2148,-2908,258635
2036118533,2261,-2727,258600
2036119235,2383,-2672,258870
2036119936,2192,-2842,258963
2036120638,2431,-2664,258469
2036233577,2193,-2729,258453
2036234280,2620,-2712,258357
2036234982,2273,-2866,258666
2036235683,2337,-2526,258562
2036236385,2270,-2687,258578
2036237087,2272,-2691,258681
2036237789,2221,-2520,258498
2036238492,2284,-2807,258732
2036239195,2181,-2756,258584
2036239896,2432,-2813,258807
2036240597,2292,-2971,258523
2036241300,2133,-2847,258832
2036242003,2347,-2758,258792
2036242705,2354,-2672,258791
2036243408,2265,-2680,258799
2036244110,2393,-2723,258724
2036244811,2196,-2857,258579
2036245512,2069,-2770,258811
2036246215,2250,-2764,258705
2036246917,2511,-2775,258667
2036247618,2206,-2725,258715
2036248320,2249,-2729,258669
2036249022,2294,-2820,258624
2036249723,2393,-2622,258750
2036250426,2314,-2766,258989
2036251129,2288,-2728,258612
2036251830,2274,-2872,258636
2036252531,2494,-2661,258807
2036253233,2234,-2524,258666
2036253935,2396,-2756,258528
2036254637,2268,-2687,258687
2036255340,2009,-2601,258549
2036256042,2264,-2670,258553
2036256743,2302,-2746,258392
2036257446,2344,-2843,258685
2036258149,2278,-2862,258819
2036258851,2451,-2849,258394
2036259552,2171,-2764,258777
2036260254,2336,-2866,258782
2036260955,2345,-2804,258793
2036261656,2216,-2839,258778
2036262359,2388,-2886,258456
2036263062,2201,-2690,258538
2036263763,2359,-2737,258712
2036264465,2358,-2711,258563
2036265167,2230,-2555,258669
2036265868,2272,-2562,259076
2036266570,2088,-2560,258615
2036267273,2302,-2855,259045
2036267974,2266,-2878,258600
2036268675,2400,-2859,258667
2036269377,2291,-2652,259021
2036270080,2489,-2612,259106
2036270782,2104,-2675,258372
2036271485,2280,-2769,259047
2036272188,2070,-2851,258608
2036272889,2390,-2780,258854
2036273590,2149,-2903,258806
2036274293,2217,-2845,258649
2036274995,2423,-2722,258618
2036275697,2061,-2741,258698
2036276399,2209,-2627,258663
2036277101,2217,-2726,258918
2036277802,2329,-2803,258659
2036278505,2304,-3054,258531
2036279208,2019,-2832,258952
2036279910,2320,-2790,258613
2036280611,2156,-2626,258738
2036281313,2551,-2824,258642
2036282015,2466,-2583,258651
2036282717,2337,-2878,258662
2036283420,2162,-2869,258798
2036284123,2126,-2888,258649
2036284824,2109,-2869,258874
2036285525,2401,-2770,258847
2036286228,2217,-2707,258833
2036286930,2237,-2766,258773
2036287632,2149,-2745,258563
2036288335,2123,-2802,258756
2036289037,2095,-2813,258664
2036289738,1866,-2840,258831
2036290441,2324,-2731,258591
2036291144,2345,-2703,258685
2036291846,2241,-2803,258698
2036292547,2237,-2790,258655
2036293249,2283,-2828,258729
2036293950,2387,-2651,258938
2036294652,2330,-2683,258539
2036295355,2462,-2711,258698
2036296058,2297,-2588,258818
2036296759,2155,-2788,258566
2036297461,2170,-2937,259106
2036298163,2163,-2597,259009
2036298865,2251,-2828,258465
2036299567,2311,-2821,258626
2036300270,2275,-2761,258729
2036300971,2091,-2925,258626
2036301672,2206,-2746,258594
2036302375,2405,-2608,258635
2036303078,2259,-2634,258818
2036303780,2185,-2745,258743
2036304483,2303,-2886,258453
2036305185,2478,-2933,258539
2036305886,2202,-2877,258575
2036306587,2250,-2688,258843
2036307290,2307,-2806,258421
2036307992,2110,-2912,258839
2036308693,2330,-2956,259046
2036309395,2424,-2760,258569
2036310097,2334,-2758,258792
2036310798,2319,-2790,258792
2036311501,2442,-2697,258865
2036312204,2095,-2698,258322
2036312905,2373,-2897,258665
2036313606,2357,-2790,258823
2036314308,2346,-2663,258569
2036315010,2390,-2773,258593
2036315712,2287,-2611,258760
2036316415,2290,-2642,258909
2036317118,2244,-2820,258597
2036317819,2349,-2730,258550
2036318520,2167,-2794,258887
2036319222,2286,-2830,258746
2036319924,2431,-2888,258803
2036320626,2280,-2680,258604
2036321329,2253,-2729,258736
2036322031,2147,-2887,258827
2036322732,2298,-2799,258881
2036323435,2257,-2767,258628
2036324138,2169,-2832,258842
2036324840,2563,-2695,258611
2036325541,2243,-2838,258588
2036326243,2115,-2683,258734
2036326944,2423,-2768,258486
2036327645,2198,-2898,258779
2036328348,2379,-2814,258799
2036329051,2167,-2735,259081
2036329752,2250,-2752,258733
2036330454,2113,-2635,258784
2036331156,2223,-2754,258709
2036331857,2294,-2671,258616
2036332558,2237,-2783,258757
2036333261,2451,-2581,258543
2036333962,2376,-2438,258996
2036334663,2162,-2873,258778
2036335365,2398,-2775,258633
2036336067,2311,-2760,258747
2036336768,2081,-2775,258472
2036337471,2203,-2938,258752
2036338174,2333,-2782,258570
2036338875,2117,-2930,258702
2036339576,2189,-2762,258670
2036340278,2447,-2699,258705
2036340980,2313,-2689,258549
2036341681,2298,-2991,259024
2036342384,2363,-2721,258699
2036343087,2351,-2798,258850
2036343788,2328,-2729,258747
2036344490,2195,-2777,258684
2036345192,2268,-2718,258740
2036345893,2383,-2794,258737
2036346595,2155,-2924,258839
2036347298,2068,-2772,258512
2036348001,2203,-2784,258620
2036348703,2277,-2892,258444
2036349406,2179,-2882,258794
2036350109,2214,-2819,258996
2036350810,2277,-2786,258639
2036351512,2126,-2792,258784
2036352215,2307,-2704,258708
2036352916,2272,-2943,258626
2036353617,2147,-2679,258822
2036354320,2313,-2568,258713
2036355023,2300,-2649,258983
2036355725,2356,-2890,258877
2036356428,2253,-2805,258889
2036357130,2408,-2702,258857
2036357831,2251,-2771,258847
2036358532,2239,-2877,258510
2036359235,2210,-2754,258515
2036359937,2265,-2816,258344
2036360638,2045,-2900,258726
2036361340,2303,-2750,258589
2036362042,2230,-2583,258533
2036362743,2045,-2788,258711
2036363446,2381,-2843,258728
2036364149,2203,-2776,258897
2036364850,2119,-2873,258743
2036365551,2361,-2671,258849
2036366253,2229,-2887,258774
2036366954,2544,-2853,258729
2036367656,2275,-2692,258730
2036368359,2146,-2843,258642
2036369062,2376,-2844,258465
2036369763,2270,-2731,258810
2036370465,2391,-2869,258981
2036371168,2295,-2798,258617
2036371870,2149,-2732,258700
2036372572,2158,-2806,258599
2036373275,2469,-2975,258786
2036373976,2416,-2690,258463
2036374677,2345,-2759,258901
2036375380,2099,-2662,258514
2036376083,2215,-2813,258824
2036376785,2208,-2747,258569
2036377487,2453,-2563,258688
2036378189,2257,-2899,258968
2036378890,2413,-2726,258611
2036379591,2183,-2691,258828
2036380294,2162,-2717,258621
2036380995,2163,-2884,258786
2036381696,2435,-2592,258482
2036382398,2305,-2838,258746
2036383100,2498,-2699,258821
2036383801,2287,-2711,258873
2036384504,2339,-2439,258892
2036385207,2401,-2894,258801
2036385908,2368,-2874,258760
2036386609,2224,-2766,258803
2036387311,2372,-2806,258659
2036388013,2338,-2776,258643
2036388715,2437,-2796,258725
2036389418,2196,-2857,258512
2036390121,2215,-2775,258556
2036390822,2318,-2751,258682
2036391523,2415,-2745,258750
2036392226,2337,-2492,258577
2036392928,2323,-2752,258915
2036393630,2269,-2797,258402
2036394333,2245,-2815,258638
2036395035,2334,-2842,258444
2036395736,2312,-2915,258473
2036396439,2193,-2717,258593
2036397142,2214,-2767,258788
2036397844,2223,-2855,258856
2036398545,2271,-2817,258721
2036399247,2412,-2779,258579
2036399948,2234,-2937,258706
2036400650,2181,-2815,258858
2036401353,2330,-2763,258639
2036402056,2259,-2819,258914
2036402757,2211,-2873,258795
2036403459,2278,-2895,258820
2036404161,2269,-2582,258599
2036404863,2324,-2627,258726
2036405565,2244,-2987,258526
2036406268,2541,-2656,258613
2036406969,2432,-2756,258369
2036407670,2205,-2847,258662
2036408372,2129,-3038,258697
2036409075,2463,-2906,258725
2036409777,2138,-2733,258722
2036410480,2298,-2892,258653
2036411183,2240,-2929,258823
2036411884,2274,-2706,258577
2036412585,2180,-2773,258765
2036413288,2422,-2765,258386
2036413990,2095,-2722,258675
2036414691,2233,-2889,258558
2036415394,2229,-2772,258624
2036416097,2261,-2696,258714
2036416798,2418,-2887,259155
2036417500,2130,-2791,258563
2036418202,2299,-2680,258933
2036418903,2423,-2649,258704
2036419605,2167,-2704,258698
2036420308,2243,-2875,258814
2036421011,2291,-2786,258631
2036421712,2144,-2813,258903
2036422414,2232,-2613,258771
2036423117,2259,-2922,258515
2036423819,2198,-2898,258613
2036424521,2234,-2843,258648
2036425224,2225,-2756,258607
2036425925,2203,-2756,258776
2036426626,2190,-2660,258610
2036427329,2342,-2919,258660
2036428032,2281,-2739,258711
2036428734,2262,-2869,258777
2036429437,2274,-2893,258414
2036430139,2270,-2694,258626
2036430840,2387,-2753,258699
2036431541,2207,-2680,258553
2036432244,2151,-2816,258409
2036432946,2207,-2827,258759
2036433647,2224,-2765,258938
2036434349,2506,-2937,258891
2036435051,2202,-2896,258716
2036435752,2421,-2672,258762
2036436455,2244,-2868,258741
2036437158,2244,-2599,258645
2036437859,2189,-2758,258546
2036438560,2418,-2695,258960
2036439262,2378,-2762,258516
2036439963,2260,-2744,258517
2036440665,2186,-2573,258755
2036441368,2260,-2700,258887
2036442071,2238,-2707,258642
2036442772,2211,-2718,258591
2036443474,2246,-2731,258221
2036444177,2202,-2874,258989
2036444879,2217,-2512,258571
2036445581,2235,-2408,258829
2036446283,2246,-2658,258572
2036446984,2086,-2744,258796
2036447686,2358,-2641,258710
2036448389,2014,-2772,258755
2036449092,2338,-2758,258604
2036449793,2090,-2574,258585
2036450495,2271,-2829,258435
2036451197,2301,-2795,258787
2036451899,2208,-2787,258738
2036452601,2287,-2646,258703
2036453304,2268,-2767,258669
2036454006,2228,-2526,258503
2036454707,2294,-2580,258688
2036455410,2262,-2747,258658
2036456113,2352,-2689,258781
2036456815,2269,-2660,258958
2036457516,2196,-2844,258805
2036458218,2136,-2708,258580
2036458919,2264,-2824,258537
2036459620,2155,-2969,258555
2036460323,2220,-2826,258440
2036461026,2094,-2753,258379
2036461727,2262,-2682,258808
2036462429,2129,-2815,258962
2036463131,2449,-2802,258654
2036463832,2235,-2568,258531
2036464534,2296,-2866,258674
2036465237,2341,-2825,258845
2036465938,2187,-2785,258691
2036466639,2326,-2865,258873
2036467341,2077,-2583,258640
2036468043,2265,-2815,258928
2036468745,2214,-2846,258667
2036469448,2203,-2791,258433
2036470151,2429,-2565,258809
2036470852,2130,-2706,258636
2036471553,2370,-2834,258626
2036472256,2521,-2620,258847
2036472958,2251,-2837,258540
2036473660,2410,-2760,258522
2036474362,2359,-2792,258923
2036475064,2425,-2785,258460
2036475765,2306,-2655,258717
2036476468,2312,-2787,258568
2036477171,2115,-2779,258759
2036477873,2202,-2813,258696
2036478574,2295,-2721,258600
2036479276,2282,-2666,258264
2036479977,2262,-2627,258746
2036480679,2057,-2753,258873
2036481381,2199,-2667,258784
2036482083,2314,-2581,258730
2036482784,2183,-2776,258760
2036483487,2400,-2732,258727
2036484190,2319,-2668,258467
2036484892,2032,-2856,258457
2036485593,2007,-2630,258455
2036486295,2127,-2729,259041
2036486996,2429,-2592,258878
2036487698,2260,-2756,258721
2036488401,2336,-2713,258815
2036489104,2105,-3003,258690
2036489805,2294,-2957,258660
2036490506,2157,-2738,258963
2036491209,2243,-2560,258593
2036491911,2249,-2810,258467
2036492612,2383,-2858,258393
2036493314,2429,-2735,258395
2036494016,2399,-2821,258464
2036494717,2266,-2609,258706
2036495420,2313,-2886,258657
2036496123,2385,-2674,258719
2036496824,2145,-2734,258744
2036497525,2215,-2713,258287
2036498227,2283,-2896,258411
2036498928,2251,-2956,258876
2036499630,2139,-2872,258836
2036500333,2525,-2829,258525
2036501036,2138,-2694,258782
2036501737,2301,-2800,258748
2036502439,2193,-2816,258766
2036503142,2256,-2851,258160
2036503844,2225,-2967,258929
2036504546,1995,-2869,258752
2036505248,2167,-2835,258467
2036505949,2148,-2802,258535
2036506650,2260,-2783,258875
2036507353,2138,-2583,258823
2036508056,2368,-2932,258600
2036508757,2008,-2776,258674
2036509459,2451,-2639,258582
2036510161,2277,-2677,258609
2036510862,2102,-2780,258859
2036511564,2409,-2958,258897
2036512267,2177,-2686,258685
2036512968,2460,-2901,258321
2036513669,2202,-2849,258791
2036514371,2095,-2917,258639
2036515074,2304,-2664,258651
2036515776,2212,-2749,258592
2036516479,2283,-2720,258962
2036517182,2321,-2725,258769
2036517883,2179,-2897,258733
2036518584,2320,-2753,258621
2036519287,2217,-2818,258521
2036519989,2148,-2900,258262
2036520691,2421,-2688,258743
2036521393,2246,-2755,258971
2036522095,2188,-2901,258608
2036522796,2432,-2817,258667
2036523499,2271,-2898,258690
2036524202,1896,-2775,258835
2036524904,2312,-2769,258777
2036525605,2541,-2910,258500
2036526307,2284,-2641,258823
2036527009,2306,-2694,258955
2036527711,2221,-2689,258861
2036528414,2264,-2839,258798
2036529117,2196,-2848,258796
2036529818,2104,-2798,258472
2036530519,2296,-2791,258785
2036531221,2287,-2747,258728
2036531923,2257,-2843,258700
2036532625,2251,-2788,258517
2036533328,1918,-2758,258742
2036534030,2105,-2709,258893
2036534731,2348,-2796,258496
2036535434,2288,-2830,258374
2036536137,2373,-2864,258669
2036536839,2322,-2722,258586
2036537541,2315,-2758,258770
2036538243,2280,-2861,258534
2036538944,2190,-2884,258672
2036539645,2369,-2576,258736
2036540348,2154,-2961,258702
2036541051,2233,-2772,258665
2036541753,2244,-2754,258483
2036542455,2404,-2571,258736
2036543157,2468,-2981,258643
2036543858,2235,-2851,258519
2036544559,2302,-2647,258826
2036545262,2186,-3099,258770
2036545963,2582,-2673,258809
2036546664,2422,-2536,258563
2036547366,2256,-2693,258338
2036548068,2215,-2891,258988
2036548769,2153,-2697,258625
2036549472,2135,-2848,258569
2036550175,2342,-2672,258872
2036550876,2280,-2688,258746
2036551577,2291,-2952,258163
2036552279,2460,-2949,259115
2036552981,2272,-2851,258408
2036553682,2394,-2865,258840
2036554384,2369,-2850,258828
2036555087,2338,-2527,258532
2036555789,2166,-2626,258546
2036556492,2382,-2829,258556
2036557195,2272,-2972,258900
2036557896,2125,-2663,258753
2036558597,2454,-2740,258855
2036559300,2331,-2785,258994
2036560003,2216,-3032,258895
2036560705,2319,-2901,258552
2036561407,2252,-2609,258683
2036562109,2246,-2833,258588
2036562810,2280,-2711,258684
2036563512,2145,-2765,258647
2036564214,2154,-2826,258837
2036564915,2277,-2712,258703
2036565616,2298,-2714,258793
2036566319,2427,-2865,258552
2036567022,2218,-2704,258539
2036567723,2161,-2914,258589
2036568425,2215,-2557,258827
2036569127,2227,-2823,258735
2036569828,2104,-2911,258631
2036570530,2457,-2746,258570
2036571233,2332,-2802,258796
2036571934,2187,-2740,258865
2036572635,2381,-2810,258576
2036573337,2554,-2961,258831
2036574039,2179,-2827,258721
2036574741,2286,-2661,258915
2036575444,2225,-2762,258610
2036576147,2251,-2807,258522
2036576848,2157,-2529,258658
2036577549,2475,-2553,258610
2036578252,2333,-2736,258669
2036578954,2304,-2706,258796
2036579656,2389,-2756,258829
2036580359,2359,-2760,258309
2036581061,2442,-2638,258733
2036581762,2228,-2821,258566
2036582465,2305,-2714,258592
2036583168,2419,-2746,258515
2036583870,2229,-2778,258528
2036584571,2172,-2743,258665
2036585273,2212,-2720,258747
2036585974,2237,-2742,258570
2036586676,2062,-2960,258557
2036587379,2135,-2499,258581
2036588082,2237,-2621,258638
2036588783,2251,-2661,258689
2036589485,2395,-2895,258528
2036590187,2179,-2628,258874
2036590889,2382,-2666,258943
2036591591,2196,-2637,258642
2036592294,2334,-2731,258679
2036592995,2286,-2648,258526
2036593696,2064,-2738,258805
2036594399,2325,-2879,258400
2036595102,2361,-2787,258571
2036595804,2207,-2739,258688
2036596505,2261,-2788,258402
2036597207,2342,-2821,258640
2036597908,2237,-2699,258531
2036598609,2328,-2892,258849
2036599312,2158,-2665,258392
2036600015,2163,-2985,258497
2036600716,2329,-2693,258756
2036601418,2172,-2632,258926
2036602120,2286,-2806,258695
2036602821,1942,-2694,259166
2036603523,2223,-2743,258686
2036604226,2139,-2653,258888
2036604927,2286,-2843,258624
2036605628,2131,-2606,258859
2036606330,1992,-2794,258890
2036607033,2289,-2884,258846
2036607735,2286,-2945,258653
2036608438,2403,-2596,258877
2036609140,2341,-2649,258827
2036609841,2428,-2857,258644
2036610542,1953,-2779,258746
2036611245,2275,-2810,258707
2036611947,2185,-2843,258603
2036612648,2295,-2894,258719
2036613350,2211,-2770,258994
2036614052,2095,-2860,258793
2036614753,2008,-2833,258685
2036615456,2248,-2658,258950
2036616159,2214,-2652,258867
2036616860,2219,-2769,258806
2036617561,2356,-2761,258710
2036618263,2322,-2768,258780
2036618964,2242,-2844,258669
2036619666,2279,-2754,259094
2036620369,2235,-2535,258815
2036621072,2149,-3004,258548
2036621773,2117,-2735,258460
2036622475,2168,-2842,258797
2036623177,2307,-2853,258554
2036623879,2262,-2805,258855
2036624581,2215,-2860,258650
2036625284,2264,-2682,258632
2036625985,2035,-2805,258739
2036626686,2124,-2985,258737
2036627389,2186,-2778,258503
2036628092,2252,-2754,258643
2036628793,2368,-2745,258617
2036629495,2353,-2880,258828
2036630197,2183,-2760,258800
2036630898,2186,-2684,258718
2036631600,2221,-2711,259004
2036632303,2117,-2887,259175
2036633006,1995,-3018,258596
2036633707,2268,-2697,258708
2036634409,2300,-2750,258755
2036635111,2179,-2683,258954
2036635813,2072,-2751,258756
2036636515,2233,-2763,258964
2036637218,2232,-2754,258582
2036637919,2159,-2799,258761
2036638620,2314,-2792,258661
2036639323,2469,-2879,258593
2036640026,2327,-2753,258752
2036640728,2374,-2901,258560
2036641431,2113,-2776,258618
2036642133,2197,-2776,258853
2036642834,2230,-2797,258495
2036643535,2363,-2730,258594
2036644238,2302,-2738,258964
2036644940,2391,-2758,259108
2036645641,2145,-2826,258640
2036646343,2248,-2900,258907
2036647045,2210,-2735,258834
2036647747,2277,-2646,258747
2036648450,2376,-2628,258800
2036649153,2064,-2853,258708
2036649854,2172,-2710,258807
2036650555,2059,-2814,258706
2036651257,2221,-2700,258649
2036651959,2310,-2928,258720
2036652661,2224,-2374,258792
2036653364,2017,-2840,258876
2036654066,2464,-2711,258715
2036654767,2210,-2675,258699
2036655470,2180,-2661,258588
2036656173,2413,-2622,258870
2036656875,2163,-2721,258751
2036657576,2095,-2650,258645
2036658278,2238,-2809,259005
2036658979,2445,-2718,258888
2036659681,2320,-2867,258935
2036660384,2372,-2728,258696
2036661087,2434,-2725,258734
2036661788,2229,-2680,258587
2036662490,2337,-2569,258979
2036663193,2340,-2664,258666
2036663895,2432,-2655,258828
2036664597,2471,-2630,259117
2036665300,2258,-2774,258887
2036666002,2367,-2899,258650
2036666703,2163,-2631,258855
2036667406,2470,-2722,258955
2036668109,2343,-2982,258632
2036668811,2361,-2859,258463
2036788847,2246,-2837,258586
2036789548,2130,-2718,258601
2036790251,2219,-2649,258767
2036790953,2169,-2648,258547
2036791655,2244,-2684,258687
2036792357,2331,-2794,258662
2036793059,2162,-2833,258344
2036793760,2283,-2765,259120
2036794463,2228,-2929,258666
2036795166,2196,-2590,258793
2036795868,2037,-2686,258618
2036796570,2360,-2773,258586
2036797272,2325,-2809,258356
2036797973,2295,-2858,259009
2036798674,2319,-2652,258794
2036799377,2245,-2837,258678
2036800080,2509,-2765,258531
2036800782,2325,-2835,258785
2036801485,2147,-2775,258765
2036802187,2101,-2918,258725
2036802888,2145,-2574,258413
2036803589,2124,-2662,258797
2036804292,2239,-2620,258845
2036804994,1998,-2703,258642
2036805695,2180,-2707,258978
2036806397,2031,-2651,258408
2036807099,2129,-2740,258701
2036807800,2435,-2769,258584
2036808503,2116,-2888,258724
2036809206,2217,-2842,258956
2036809908,2401,-2950,258655
